templateID,candidateID,demographicsCosine,travelJaccard,dtwAllEdges,dtwCommunication,glPhone-dir4,glPhone-undir5,glEmail-dir4,glEmail-undir5,glTravel-dir4,glTravel-undir5,glCommunication-dir4,glCommunication-undir5,dtwTravel,Country,F_Smoker,F_Education,F_Property,F_Mortgage,F_Gas,F_Rich,F_Renting,templateNeighbors,candidateNeighbors,nbCommonCommNeighbors
63,550361,0.5050018725134315,,0.3696845502136472,0.3236327465097843,0.7373264900276245,0.5232661515668366,0.6273807949167961,0.7635368880934277,,,0.7358590402512426,0.5035046997888024,,False,False,False,False,False,False,False,False,30,30,44.0
43,492777,0.12277699850264734,,0.223606797749979,0.2735195926822196,0.7220013329692416,0.49877603221673716,0.6125870810118385,0.7927650432554744,,,0.7068101489784899,0.5555302400068722,,False,False,False,False,False,False,False,False,30,26,20.0
27,616050,0.4816007419570082,,0.23094010767585027,0.5470391853644392,0.7061725814925914,0.5671974400520197,0.7291509556842795,0.8579625015320883,,,0.8860013840763605,0.7548337628318578,,False,False,False,False,False,False,False,False,32,26,8.0
39,570411,0.8061596578026624,,0.3605551275463988,0.2546328832592281,0.8786287052885517,0.4241845134590685,0.8777887968000981,0.843507119175121,,,0.8309876363363945,0.48957919817637546,,False,False,False,False,False,False,False,False,27,25,0.0
41,632150,0.39200895106694233,,0.5887840577551897,0.5401579153970482,0.8498125833620598,0.4393236323127136,0.7294180217256921,0.7043015000479945,,,0.8957031828903192,0.9848664733623124,,False,False,False,False,False,False,False,False,36,23,28.0
34,599956,0.5845188067508865,,0.46188021535170054,0.4148130005633971,0.8029837287028386,0.3769820373331907,0.778370326186617,0.675201056634143,,,0.7548241957190881,0.524225408848182,,False,False,False,False,False,False,False,False,29,32,23.0
56,635665,0.3140084750304997,,0.3605551275463988,0.3236327465097843,0.6898463943974129,0.4890122155492735,0.6999825879440227,0.8052470234776486,,,0.7122722349116517,0.6802439014695899,,False,False,False,False,False,False,False,False,29,38,30.0
47,490041,0.502530847381209,,0.4546060565661952,0.3803135600922282,0.7064832519840569,0.3297549521043408,0.7127658856451092,0.6821083589678287,,,0.6942533874833927,0.3837894441267888,,False,False,False,False,False,False,False,False,29,30,11.0
57,596193,0.46810309942711487,,0.19999999999999996,0.13212251550074416,0.7980910775697454,0.29971886628240796,0.8196339918665371,0.847367538494936,,,0.6971366163546182,0.5375201397436712,,False,False,False,False,False,False,False,False,33,24,6.0
0,640464,0.5138731926919896,,,,0.886958889433458,0.46117786600365207,0.9690199294380988,0.8025849176962457,,,0.9842998457546468,0.7424776944685262,,False,False,False,False,False,False,False,False,24,27,0.0
45,533140,0.6784340034103696,,0.18257418583505536,0.1116639061208883,1.0,0.7241110015578726,0.781997000353267,0.8443508550231923,,,0.9034696912964121,0.9081397386832946,,False,False,False,False,False,False,False,False,35,24,8.0
58,623295,0.2045542779236107,,0.1732050807568877,0.14981285083167667,0.8126184512815281,0.534228733932227,0.709031333857258,0.7993193682590881,,,0.6910065852258311,0.519498081987504,,False,False,False,False,False,False,False,False,26,27,49.0
65,591682,0.6644750870151339,,,,0.8992602040992241,0.5560602897930951,0.9369831364836818,0.17444545290625804,,,0.9899260204099224,0.9901066644513347,,False,False,False,False,False,False,False,False,29,26,5.0
40,464459,0.42509227897018603,1.0,0.3,0.46310240811185854,0.891114788650755,0.5560602897930951,0.9112299810196115,0.17444545290625804,0.6800021755329284,0.2895246227376836,0.9891114788650756,0.9901066644513347,0.15430334996209194,False,False,False,False,False,False,False,False,29,26,4.0
37,493044,0.12866400884953505,,,,0.8882820448045551,0.3540476758060551,0.7159429668415218,0.7969669376117716,,,0.7651383896459396,0.5046605832384566,,False,False,False,False,False,False,False,False,29,29,20.0
